Trading_time,Is_it_best_bid_or_ask,The_price_of_the_customer_order,bid_ask_spread,mid_price,micro_price,best_bid,best_ask,time_elapsed,LOB_imbalance,total_quantity_of_all_quotes,p*,Smith's_metric,Trading_price
2.7,0,134,279,139.5,69.7500 ,0,279,0.0000 ,0.0000 ,4,0.0000 ,0.0000 ,110
7.35,0,73,19,56.5,52.4286 ,47,66,4.6500 ,0.5000 ,14,0.0000 ,0.0000 ,57
7.5,1,80,39,73.5,67.9286 ,54,93,0.1500 ,0.5000 ,14,0.0000 ,0.0000 ,66
7.7625,1,147,52,80,76.2857 ,54,106,0.2625 ,0.5000 ,14,68.8000 ,13.8349 ,93
11.6375,0,103,26,88,85.7059 ,75,101,3.8750 ,0.5000 ,17,66.1900 ,15.2666 ,92
13.2,1,116,28,92,88.6667 ,78,106,1.5625 ,0.5000 ,21,76.3867 ,16.0123 ,101
14.1875,0,150,26,88,84.9048 ,75,101,0.9875 ,0.5000 ,21,86.3767 ,15.3228 ,79
15.45,0,98,23,86.5,84.8571 ,75,98,1.2625 ,0.5000 ,21,81.4733 ,15.7512 ,76
18.7,0,137,11,85.5,84.4000 ,80,91,3.2500 ,0.5000 ,25,76.3033 ,16.2145 ,90
18.9125,1,96,12,86,85.0000 ,80,92,0.2125 ,0.5000 ,24,74.1300 ,16.0295 ,91
19.7625,0,119,25,93.5,92.4583 ,81,106,0.8500 ,0.5000 ,24,77.8533 ,14.7334 ,91
20.8125,0,144,19,96.5,96.5000 ,87,106,1.0500 ,0.5000 ,26,81.9333 ,14.3084 ,104
22.8875,1,108,24,102,101.6129 ,90,114,2.0750 ,0.5000 ,31,86.5367 ,14.1328 ,106
23.325,0,111,23,102.5,102.5000 ,91,114,0.4375 ,0.5000 ,30,91.1033 ,14.3378 ,111
26.675,1,114,4,114,114.1000 ,112,116,3.3500 ,0.5000 ,40,96.8800 ,14.0967 ,114
27.525,0,142,2,113,112.9756 ,112,114,0.8500 ,0.5000 ,41,99.9200 ,15.3241 ,113
27.725,1,121,15,108.5,108.3077 ,101,116,0.2000 ,0.5000 ,39,101.8367 ,15.9839 ,114
29.5125,0,126,11,108.5,108.3659 ,103,114,1.7875 ,0.5000 ,41,102.6800 ,16.1166 ,113
