Trading_time,Is_it_best_bid_or_ask,The_price_of_the_customer_order,bid_ask_spread,mid_price,micro_price,best_bid,best_ask,time_elapsed,LOB_imbalance,total_quantity_of_all_quotes,p*,Smith's_metric,Trading_price
3.5375,0,116,27,80.5,74.7143,67,94,0,0.5,7,0,0,89
5.2875,0,85,39,86.5,81.625,67,106,1.75,0.5,8,0,0,68
5.7875,1,67,46,75,62.2222,52,98,0.5,0.5,9,0,0,67
7.0125,1,139,50,77,57.5556,52,102,1.225,0.5,9,66.7633,16.6107,98
8.1,1,132,54,79,62.8,52,106,1.0875,0.5,10,71.1267,14.0594,102
8.2375,1,129,77,100.5,79.1111,62,139,0.1375,0.5,9,81.49,12.3562,106
10.7,0,137,46,102,93.1538,79,125,2.4625,0.5,13,92.3933,13.8294,104
10.9375,0,103,57,93.5,82.5385,65,122,0.2375,0.5,13,94.0067,13.0825,76
11.65,0,101,45,88.5,84,66,111,0.7125,0.5,15,85.1533,14.0424,89
11.8625,0,91,44,89,86.25,67,111,0.2125,0.5,16,80.5467,14.6415,84
14.6875,0,144,6,108,107.8571,105,111,2.825,0.5,21,75.22,19.5001,110
15.45,0,121,23,117.5,116.9524,106,129,0.7625,0.5,21,85.8967,20.6295,110
16.425,0,119,23,117.5,116.8947,106,129,0.975,0.5,19,92.3467,21.0917,108
19.25,0,150,4,113,112.7778,111,115,2.825,0.5,27,98.7,20.3922,113
19.9375,1,111,4,112,111.6296,110,114,0.6875,0.5,27,99.7667,20.456,111
19.95,1,126,31,98.5,95.4,83,114,0.0125,0.5,25,100.06,19.776,110
21.2875,0,114,20,101,99.4615,91,111,1.3375,0.5,26,100.4767,19.2322,110
23.275,0,83,39,88.5,84.6,69,108,1.9875,0.5,25,99.6367,18.854,83
24.5625,0,124,10,103,102.2308,98,108,1.2875,0.5,26,90.3667,20.4625,107
25.0625,1,147,24,110,107.2308,98,122,0.5,0.5,26,90.2667,20.3857,108
25.175,1,98,42,101,96.8,80,122,0.1125,0.5,25,90.51,19.8663,98
27.55,0,134,38,95,93.5385,76,114,2.375,0.5,26,93.9567,18.6836,101
28.0625,1,142,50,101,100.0741,76,126,0.5125,0.5,27,92.2267,18.7012,114
35.1,0,139,8,112,112.1081,108,116,7.0375,0.5,37,94.76,18.3352,115
39.0375,0,124,8,112,112.3077,108,116,3.9375,0.5,39,99.8033,17.4954,113
39.925,0,144,8,112,112.4,108,116,0.8875,0.6667,40,102.9467,17.01,111
40.025,1,132,13,114.5,115,108,121,0.1,0.6667,39,101.95,17.2993,116
43.6375,0,121,2,112,112,111,113,3.6125,0.6667,44,102.4767,17.1819,112
44.9875,1,111,1,111.5,111.5227,111,112,1.35,0.6667,44,102.1033,17.1837,111
47.575,1,134,3,110.5,110.56,109,112,2.5875,0.5,50,101.92,17.1144,111
49.575,1,147,4,111,111.1224,109,113,2,0.6667,49,100.54,17.2563,112
51.5625,1,126,1,109.5,109.5306,109,110,1.9875,0.6667,49,100.6033,17.1077,109
54.225,1,119,2,109,109.0612,108,110,2.6625,0.5,49,99.9033,17.0781,109
54.3625,1,129,3,109.5,109.5625,108,111,0.1375,0.5,48,99.2733,17.0471,110
55.8,1,108,2,108,108.1111,107,109,1.4375,0.3333,45,98.7967,16.9627,108
57.2625,1,150,8,112,112.4255,108,116,1.4625,0.6667,47,98.43,16.949,109
57.85,0,116,10,111,111.5556,106,116,0.5875,0.5,45,98.4333,16.8476,109
58.1875,1,142,12,109,109.4,103,115,0.3375,0.5,45,98.1933,16.7456,106
59.6375,1,103,16,107,107.1778,99,115,1.45,0.5,45,97.4633,16.6969,103
59.825,1,137,17,107.5,107.6977,99,116,0.1875,0.5,43,95.5633,16.8629,115
64,0,126,8,105,104.8333,101,109,4.175,0.3333,48,97.8533,16.2811,106
64.4875,1,106,10,104,103.8936,99,109,0.4875,0.5,47,97.6433,16.1283,101
66.125,0,101,8,103,102.6667,99,107,1.6375,0.5,48,96.5167,16.1267,100
67.2625,0,103,4,102,101.84,100,104,1.1375,0.5,50,92.2533,16.6772,103
67.75,0,121,6,100,99.6809,97,103,0.4875,0.5,47,91.6033,16.6037,101
67.7625,1,132,7,100.5,100.1111,97,104,0.0125,0.5,45,91.5667,16.4247,103
71.2875,0,124,9,95.5,95.2245,91,100,3.525,0.5,49,92.4433,16.1095,98
75.2375,0,129,4,100,99.7959,98,102,3.95,0.5,49,90.8367,16.2191,99
75.875,1,114,3,99.5,99.4082,98,101,0.6375,0.6667,49,90.21,16.161,98
76.6625,1,150,6,99,98.8163,96,102,0.7875,0.5,49,88.8267,16.2454,98
77.8125,0,106,5,100.5,100.3958,98,103,1.15,0.5,48,88.7967,16.0877,100
80.3375,1,142,5,100.5,100.2826,98,103,2.525,0.6667,46,89.1933,15.8584,98
83.2375,1,147,9,101.5,101,97,106,2.9,0.5,45,89.1267,15.7177,103
83.35,1,139,11,102.5,102,97,108,0.1125,0.5,44,90.7333,15.2961,106
84.725,1,119,12,102,101.7391,96,108,1.375,0.6667,46,92.6933,14.8355,97
86.8875,0,108,7,104.5,104.2766,101,108,2.1625,0.6667,47,91.9433,14.8326,103
88.2,0,134,6,105,104.875,102,108,1.3125,0.5,48,92.0533,14.6979,103
91.75,0,111,3,106.5,106.5918,105,108,3.55,0.5,49,91.4233,14.6975,107
91.7625,1,137,10,110,110.2083,105,115,0.0125,0.6667,48,94.3767,14.1801,108
93.025,0,134,10,110,110.1064,105,115,1.2625,0.6667,47,95.91,13.8951,107
93.85,0,116,1,106.5,106.5,106,107,0.825,0.6667,50,96.9567,13.652,106
94.1875,1,150,3,106.5,106.4694,105,108,0.3375,0.6667,49,96.5933,13.6114,107
