Trading_time,Is_it_best_bid_or_ask,The_price_of_the_customer_order,bid_ask_spread,mid_price,micro_price,best_bid,best_ask,time_elapsed,LOB_imbalance,total_quantity_of_all_quotes,p*,Smith's_metric,Trading_price
4.1875,0,142,7,102.5,102.8182 ,99,106,0,0.3333 ,11,0,0.0000 ,105
7.9625,1,134,2,102,101.9474 ,101,103,3.775,0.3333 ,19,0,0.0000 ,103
8.025,1,132,4,101,100.8824 ,99,103,0.0625,0.5000 ,17,0,0.0000 ,101
8.6625,1,121,6,102,101.8000 ,99,105,0.6375,0.5000 ,15,92.9167,0.8531 ,103
11.625,0,119,6,99,98.8235 ,96,102,2.9625,0.5000 ,17,92.4433,1.6469 ,99
14.125,1,101,3,98.5,98.5000 ,97,100,2.5,0.6667 ,24,91.17,1.9370 ,98
14.175,0,137,4,99,99.0000 ,97,101,0.05,0.3333 ,22,90.1767,1.9396 ,100
15.825,1,114,2,98,98.0000 ,97,99,1.65,0.3333 ,26,89.4633,2.0695 ,99
15.975,1,129,3,97.5,97.5600 ,96,99,0.15,0.5000 ,25,89.46,2.1751 ,97
17.3375,0,144,9,101.5,101.0000 ,97,106,1.3625,0.5000 ,27,89.0333,2.0956 ,99
19.1,1,124,8,101,100.4667 ,97,105,1.7625,0.5000 ,30,88.83,1.9980 ,104
19.8,0,106,7,99.5,99.0000 ,96,103,0.7,0.5000 ,28,90.5567,1.8997 ,97
23.5625,1,150,3,100.5,100.6154 ,99,102,3.7625,0.5000 ,39,90.2633,1.8351 ,100
23.9125,1,111,6,103,103.0769 ,100,106,0.35,0.5000 ,39,90.5133,1.9748 ,102
25.775,0,147,9,106.5,106.6216 ,102,111,1.8625,0.5000 ,37,90.19,2.6411 ,106
27.85,1,139,8,106,106.2927 ,102,110,2.075,0.5000 ,41,92.9333,2.9010 ,109
28.025,0,126,11,104.5,104.7750 ,99,110,0.175,0.5000 ,40,95.6733,2.8893 ,102
29.5375,1,103,9,103.5,103.5000 ,99,108,1.5125,0.5000 ,40,95.32,2.8681 ,100
32.9125,0,116,3,98.5,98.5000 ,97,100,3.375,0.5000 ,42,93.3633,2.9319 ,99
