Trading_time,Is_it_best_bid_or_ask,The_price_of_the_customer_order,bid_ask_spread,mid_price,micro_price,best_bid,best_ask,time_elapsed,LOB_imbalance,total_quantity_of_all_quotes,p*,Smith's_metric,Trading_price
5.5875,0,85,3,65.5,65.4,64,67,0,0.25,15,0,0,67
5.875,1,134,25,78.5,78.5,66,91,0.2875,0.5,14,0,0,67
7.5125,0,116,16,83,82.4667,75,91,1.6375,0.5,15,0,0,89
8.05,1,108,19,86.5,85.7692,77,96,0.5375,0.5,13,67.8567,13.5384,91
10,0,126,5,85.5,85.3333,83,88,1.95,0.5,15,75.1233,11.4083,85
11.0875,0,132,2,87,87.0588,86,88,1.0875,0.5,17,79.6633,10.3056,87
11.775,1,96,9,91.5,92.0625,87,96,0.6875,0.5,16,79.07,10.7251,88
13.125,1,124,12,93,94.2,87,99,1.35,0.5,15,78.3833,11.0798,96
13.15,1,142,27,100.5,104.3571,87,114,0.025,0.5,14,81.89,12.0231,99
13.825,1,139,32,103,107,87,119,0.675,0.5,16,85.56,12.5995,114
14.425,0,114,32,103,107.7059,87,119,0.6,0.5,17,93.62,12.0238,101
20.125,0,111,14,112,113.6154,105,119,5.7,0.3333,26,94.5967,13.3707,111
20.3125,1,121,14,112,113.4,105,119,0.1875,0.3333,25,98.08,13.7314,119
21.525,1,106,16,111,113,103,119,1.2125,0.5,24,100.2367,13.8302,105
22.125,1,129,20,114,116.5,104,124,0.6,0.5,24,100.67,14.2533,119
22.175,1,119,21,113.5,116.3636,103,124,0.05,0.5,22,103.2967,14.142,104
24.9375,1,103,18,107,108.5517,98,116,2.7625,0.3333,29,98.7167,14.571,103
26.3375,0,150,17,107.5,108.871,99,116,1.4,0.3333,31,97.6633,14.5176,113
26.85,0,137,18,107,108.4516,98,116,0.5125,0.3333,31,96.6467,14.4363,100
28.5625,1,98,18,103,104.5882,94,112,1.7125,0.5,34,95.0433,14.3377,98
28.5875,1,144,22,101,102.6667,90,112,0.025,0.5,33,93.1767,14.2697,94
30.4125,1,91,23,99.5,99.8485,88,111,1.825,0.5,33,87.7333,14.7925,90
30.85,0,147,24,100,100,88,112,0.4375,0.5,32,84.66,14.9823,110
34.3375,0,108,7,103.5,103.5946,100,107,3.4875,0.6667,37,89.0467,13.979,104
35.6375,0,106,3,102.5,102.6579,101,104,1.3,0.6667,38,91.9667,13.2764,101
37.0875,1,132,4,104,104.2105,102,106,1.45,0.5,38,94.5667,12.6961,104
38.15,0,111,3,104.5,104.5405,103,106,1.0625,0.6667,37,93.0467,12.7036,105
38.65,1,124,3,104.5,104.5405,103,106,0.5,0.5,37,93.47,12.4554,103
41.55,0,139,3,104.5,104.425,103,106,2.9,0.3333,40,93.9133,12.2148,104
41.7375,1,150,3,104.5,104.4615,103,106,0.1875,0.3333,39,93.9167,12.0398,106
42.075,0,144,15,97.5,97.2973,90,105,0.3375,0.5,37,94.3433,11.7917,102
43.8625,0,147,14,98,98.3684,91,105,1.7875,0.5,38,93.88,11.6615,101
43.95,1,98,15,97.5,97.9167,90,105,0.0875,0.5,36,92.8867,11.6074,91
49.95,0,126,4,92,91.8537,90,94,6,0.5,41,88.1733,12.1307,91
