Trading_time,Is_it_best_bid_or_ask,The_price_of_the_customer_order,bid_ask_spread,mid_price,micro_price,best_bid,best_ask,time_elapsed,LOB_imbalance,total_quantity_of_all_quotes,p*,Smith's_metric,Trading_price
2.7375,0,134,6,111,109.2000 ,108,114,0,0.5000 ,5,0,0.0000 ,112
4.2,1,108,59,84.5,74.6667 ,55,114,1.4625,0.5000 ,6,0,0.0000 ,108
5.1625,1,124,88,100,89.0000 ,56,144,0.9625,0.5000 ,8,0,0.0000 ,114
8.7,0,103,61,108.5,108.5000 ,78,139,3.5375,0.5000 ,14,100.64,16.5560 ,93
10.6375,0,142,7,120.5,120.5000 ,117,124,1.9375,0.5000 ,20,94.36,19.3914 ,120
10.75,1,139,39,104.5,104.5000 ,85,124,0.1125,0.5000 ,18,98.68,16.6725 ,117
16.35,0,147,29,103.5,102.2917 ,89,118,5.6,0.5000 ,24,100.11,15.0096 ,113
17.125,1,119,30,104,103.3478 ,89,119,0.775,0.5000 ,23,105.1667,13.2471 ,118
17.35,1,111,32,103,103.0000 ,87,119,0.225,0.5000 ,22,104.8233,12.4412 ,89
17.4125,1,88,34,102,101.1905 ,85,119,0.0625,0.5000 ,21,95.5767,12.8655 ,87
19.3,0,129,15,98.5,97.3462 ,91,106,1.8875,0.5000 ,26,87.56,13.4038 ,104
19.8375,1,150,19,101.5,99.7407 ,92,111,0.5375,0.5000 ,27,84.7967,13.2062 ,106
20.175,0,137,19,101.5,99.7407 ,92,111,0.3375,0.5000 ,27,90.0233,11.9173 ,97
21.45,0,114,12,99,98.3333 ,93,105,1.275,0.5000 ,27,92.2133,11.2046 ,94
26.9375,1,144,8,106,106.0000 ,102,110,5.4875,0.3333 ,40,89.0533,11.2809 ,105
27.575,0,132,6,105,105.0769 ,102,108,0.6375,0.3333 ,39,89.39,10.9125 ,103
29.675,0,116,3,103.5,103.5349 ,102,105,2.1,0.3333 ,43,91.2133,10.3703 ,104
30,1,126,2,102,102.0000 ,101,103,0.325,0.5000 ,42,93.9167,9.7718 ,102
30.775,1,101,6,99,98.7000 ,96,102,0.775,0.5000 ,40,93.01,9.6149 ,101
32.8875,0,119,4,101,100.9535 ,99,103,2.1125,0.6667 ,43,92.3467,9.4263 ,101
34.8125,0,126,4,101,101.0000 ,99,103,1.925,0.5000 ,44,91.5067,9.2724 ,101
37.1875,1,106,4,101,101.0444 ,99,103,2.375,0.6667 ,45,91.2367,9.0760 ,99
37.8125,1,142,12,105,105.0000 ,99,111,0.625,0.5000 ,44,90.57,8.9721 ,103
39.775,1,139,12,105,105.1463 ,99,111,1.9625,0.5000 ,41,91.3033,8.7423 ,99
39.9375,0,121,15,103.5,103.5000 ,96,111,0.1625,0.5000 ,40,90.63,8.6314 ,98
43.4375,0,116,4,102,102.1333 ,100,104,3.5,0.5000 ,45,90.1767,8.5000 ,102
44.3,0,106,1,101.5,101.5106 ,101,102,0.8625,0.5000 ,47,90.13,8.3394 ,102
44.575,1,114,2,102,102.0222 ,101,103,0.275,0.5000 ,45,91.06,8.1001 ,102
44.7375,0,134,10,106,106.1163 ,101,111,0.1625,0.5000 ,43,92.14,7.9101 ,102
46.2875,0,137,10,106,106.0000 ,101,111,1.55,0.5000 ,42,92.14,7.8148 ,109
48.1625,1,147,13,107.5,107.9756 ,101,114,1.875,0.5000 ,41,94.4733,7.5783 ,111
49.125,1,144,18,110,110.8571 ,101,119,0.9625,0.5000 ,42,97.24,7.4109 ,114
50.4625,1,121,8,105,105.2791 ,101,109,1.3375,0.5000 ,43,100.73,7.0578 ,101
52.7125,1,101,9,104.5,104.9737 ,100,109,2.25,0.5000 ,38,97.8367,7.1679 ,101
55.65,0,150,4,102,101.9130 ,100,104,2.9375,0.5000 ,46,94.7467,7.2932 ,101
55.9625,0,108,5,102.5,102.3913 ,100,105,0.3125,0.5000 ,46,91.2367,7.4649 ,103
58.2875,1,124,2,100,99.9778 ,99,101,2.325,0.5000 ,45,91.9033,7.3224 ,100
58.8875,1,132,3,100.5,100.5000 ,99,102,0.6,0.5000 ,44,91.5033,7.2635 ,101
59.2875,0,111,7,99.5,99.5814 ,96,103,0.4,0.6667 ,43,91.4767,7.1875 ,100
59.5,1,129,7,99.5,99.6750 ,96,103,0.2125,0.5000 ,40,90.6333,7.1769 ,103
63.2875,0,124,4,98,97.8182 ,96,100,3.7875,0.5000 ,44,91.6033,7.0541 ,99
63.5625,1,96,8,96,95.5349 ,92,100,0.275,0.5000 ,43,90.9,7.1132 ,96
65.6125,0,119,6,96,95.9302 ,93,99,2.05,0.5000 ,43,89.51,7.2138 ,98
65.9875,1,147,8,97,97.0000 ,93,101,0.375,0.5000 ,42,88.1967,7.2847 ,99
68.5625,0,132,3,96.5,96.4250 ,95,98,2.575,0.5000 ,40,88.32,7.2490 ,97
69.025,0,98,3,96.5,96.5385 ,95,98,0.4625,0.5000 ,39,88.4933,7.2057 ,97
69.65,0,121,9,96.5,96.3784 ,92,101,0.625,0.5000 ,37,88.1633,7.2055 ,96
71.4875,1,93,5,93.5,93.1111 ,91,96,1.8375,0.5000 ,45,87.29,7.3318 ,92
73.9,0,101,3,92.5,92.3043 ,91,94,2.4125,0.3333 ,46,85.6567,7.5444 ,93
74.0875,1,111,3,92.5,92.2955 ,91,94,0.1875,0.3333 ,44,84.52,7.7104 ,94
77.05,0,144,10,96,95.3902 ,91,101,2.9625,0.5000 ,41,84.0733,7.7291 ,93
78.4875,1,91,10,96,95.5238 ,91,101,1.4375,0.6667 ,42,84.31,7.6815 ,91
81.35,0,116,7,97.5,97.2667 ,94,101,2.8625,0.5000 ,45,83.6133,7.6918 ,96
83.15,0,126,5,98.5,98.4468 ,96,101,1.8,0.5000 ,47,84.41,7.5556 ,97
84.1625,1,108,10,101,100.7826 ,96,106,1.0125,0.5000 ,46,85.7033,7.3724 ,101
87.825,0,142,2,99,98.9796 ,98,100,3.6625,0.5000 ,49,88.6867,7.0637 ,99
88.75,1,114,6,100,99.9388 ,97,103,0.925,0.5000 ,49,89.49,6.9382 ,100
89.7125,0,106,3,101.5,101.5000 ,100,103,0.9625,0.5000 ,50,90.3033,6.8164 ,101
89.875,1,129,6,103,103.0000 ,100,106,0.1625,0.6667 ,48,90.3967,6.7592 ,103
92.8625,1,137,5,105.5,105.5000 ,103,108,2.9875,0.6667 ,46,91.6333,6.6464 ,106
93.9625,1,134,5,105.5,105.5000 ,103,108,1.1,0.6667 ,44,93.5033,6.4919 ,103
95.7625,1,144,9,106.5,106.6047 ,102,111,1.8,0.5000 ,43,93.9433,6.4560 ,108
101.1625,0,139,5,108.5,108.7083 ,106,111,5.4,0.7500 ,48,95.52,6.3816 ,106
101.2125,1,147,8,110,110.2553 ,106,114,0.05,0.5000 ,47,95.5433,6.4434 ,111
108.475,0,126,4,108,108.1600 ,106,110,7.2625,0.5000 ,50,97.96,6.2976 ,109
109.7875,0,121,4,107,107.0426 ,105,109,1.3125,0.6667 ,47,98.2533,6.2720 ,108
110.7,0,150,4,107,107.0408 ,105,109,0.9125,0.5000 ,49,98.67,6.2377 ,108
111.9625,0,137,4,107,107.0833 ,105,109,1.2625,0.5000 ,48,97.83,6.2831 ,108
112.275,0,106,5,105.5,105.5532 ,103,108,0.3125,0.5000 ,47,97.56,6.2736 ,104
113.5125,1,124,8,100,100.1739 ,96,104,1.2375,0.5000 ,46,96.2267,6.3167 ,103
113.7,0,142,5,104.5,104.6087 ,102,107,0.1875,0.3333 ,46,94.6933,6.3844 ,103
114.4125,1,150,7,99.5,99.4222 ,96,103,0.7125,0.3333 ,45,93.3133,6.4390 ,102
115.1625,0,119,2,101,101.0213 ,100,102,0.75,0.5000 ,47,92.71,6.4361 ,101
115.45,0,111,2,101,101.0222 ,100,102,0.2875,0.5000 ,45,92.0767,6.4362 ,101
115.7875,0,132,3,101.5,101.6304 ,100,103,0.3375,0.5000 ,46,91.5067,6.4324 ,101
116.175,1,114,3,100.5,100.5000 ,99,102,0.3875,0.5000 ,46,91.2367,6.4097 ,100
117.1625,0,139,5,98.5,98.4444 ,96,101,0.9875,0.5000 ,45,90.9033,6.4026 ,100
117.7125,1,108,6,103,103.0638 ,100,106,0.55,0.5000 ,47,90.6033,6.3849 ,101
120.7625,0,116,5,103.5,103.6087 ,101,106,3.05,0.5000 ,46,90.6667,6.3446 ,102
123.55,1,101,5,100.5,100.4444 ,98,103,2.7875,0.5000 ,45,91.3,6.2621 ,101
123.6375,1,129,8,102,102.0000 ,98,106,0.0875,0.5000 ,44,91.5367,6.2070 ,103
125.8875,0,129,3,99.5,99.4667 ,98,101,2.25,0.5000 ,45,92.1733,6.1311 ,100
126.175,1,119,12,105,105.1395 ,99,111,0.2875,0.5000 ,43,91.5033,6.1534 ,101
130.9,0,116,4,104,104.1224 ,102,106,4.725,0.6667 ,49,91.4767,6.1256 ,104
131.1625,0,139,3,104.5,104.5625 ,103,106,0.2625,0.5000 ,48,91.9667,6.0667 ,103
131.6125,1,114,4,104,104.0426 ,102,106,0.45,0.5000 ,47,92.8033,5.9830 ,103
131.8125,1,108,6,105,105.0000 ,102,108,0.2,0.5000 ,46,93.3133,5.9280 ,106
132.0625,1,124,8,104,104.0889 ,100,108,0.25,0.5000 ,45,94.0433,5.8544 ,102
136.2125,0,147,8,104,103.9070 ,100,108,4.15,0.5000 ,43,93.61,5.8532 ,107
141,0,132,3,104.5,104.6154 ,103,106,4.7875,0.5000 ,52,94.8867,5.7507 ,104
141.7125,1,134,1,103.5,103.5192 ,103,104,0.7125,0.6000 ,52,94.3067,5.7570 ,103
141.7375,1,126,1,103.5,103.5200 ,103,104,0.025,0.5000 ,50,94.4233,5.7214 ,104
142.1375,1,144,1,103.5,103.5306 ,103,104,0.4,0.5000 ,49,93.6467,5.7405 ,104
142.375,1,150,1,103.5,103.5319 ,103,104,0.2375,0.6667 ,47,93.6767,5.7107 ,103
143.4,1,106,2,103,103.0222 ,102,104,1.025,0.5000 ,45,93.6133,5.6856 ,103
146.9625,1,142,3,103.5,103.6364 ,102,105,3.5625,0.5000 ,44,93.3133,5.6770 ,104
148.15,1,111,3,102.5,102.5682 ,101,104,1.1875,0.5000 ,44,93.3767,5.6440 ,102
149.725,0,121,3,102.5,102.4667 ,101,104,1.575,0.5000 ,45,93.01,5.6373 ,102
153.65,1,126,1,103.5,103.5306 ,103,104,3.925,0.3333 ,49,92.68,5.6312 ,104
154.1875,1,144,5,105.5,105.7660 ,103,108,0.5375,0.5000 ,47,92.8067,5.6104 ,104
155.2125,0,132,7,104.5,104.8182 ,101,108,1.025,0.5000 ,44,93.4067,5.5548 ,104
156.5125,0,116,6,105,105.2727 ,102,108,1.3,0.5000 ,44,93.9467,5.5064 ,104
157.725,0,150,5,105.5,105.7083 ,103,108,1.2125,0.5000 ,48,93.9467,5.4929 ,105
157.8,1,137,8,107,107.3478 ,103,111,0.075,0.5000 ,46,94.28,5.4746 ,108
160.3625,0,114,2,104,104.0222 ,103,105,2.5625,0.5000 ,45,95.58,5.3777 ,104
160.45,1,111,4,103,103.0909 ,101,105,0.0875,0.5000 ,44,95.4167,5.3621 ,103
162.35,1,108,2,105,104.9767 ,104,106,1.9,0.5000 ,43,94.6933,5.3854 ,105
164.0125,0,101,8,100,100.0000 ,96,104,1.6625,0.5000 ,42,93.98,5.4053 ,101
168.3125,0,101,2,101,101.0455 ,100,102,4.3,0.5000 ,44,92.9767,5.4395 ,101
172.1625,0,129,6,105,105.1364 ,102,108,3.85,0.5000 ,44,92.3167,5.4620 ,103
173.475,1,106,7,99.5,99.5814 ,96,103,1.3125,0.5000 ,43,91.9033,5.4681 ,102
174.9,0,147,4,101,100.9574 ,99,103,1.425,0.6667 ,47,92.17,5.4290 ,102
175.6125,1,134,3,100.5,100.4667 ,99,102,0.7125,0.6667 ,45,92.41,5.3933 ,99
176.075,1,139,5,98.5,98.3913 ,96,101,0.4625,0.5000 ,46,91.14,5.4576 ,99
177.2625,0,124,6,99,98.8696 ,96,102,1.1875,0.5000 ,46,90.24,5.4978 ,99
177.65,1,119,12,102,101.8667 ,96,108,0.3875,0.5000 ,45,89.43,5.5234 ,102
178.8375,1,142,14,104,104.4884 ,97,111,1.1875,0.5000 ,43,90.43,5.4445 ,108
180.125,0,137,14,104,103.8372 ,97,111,1.2875,0.5000 ,43,93.33,5.2556 ,110
182.8,0,124,6,101,100.9362 ,98,104,2.675,0.5000 ,47,96.6067,5.0569 ,99
183.5625,1,121,8,100,99.8182 ,96,104,0.7625,0.5000 ,44,95.16,5.1168 ,98
184.1,1,142,10,101,100.7727 ,96,106,0.5375,0.7500 ,44,92.0667,5.2681 ,104
193.4875,0,114,5,103.5,103.7000 ,101,106,9.3875,0.5000 ,50,90.7967,5.3223 ,104
194.6875,0,121,3,104.5,104.6875 ,103,106,1.2,0.5000 ,48,92.3267,5.2189 ,104
195.025,1,150,5,103.5,103.6596 ,101,106,0.3375,0.5000 ,47,93.9467,5.1103 ,103
198.3,0,108,4,104,104.1333 ,102,106,3.275,0.6667 ,45,93.6133,5.1115 ,103
198.5,1,134,4,104,104.1818 ,102,106,0.2,0.6667 ,44,93.3133,5.1112 ,102
199.7,1,144,7,104.5,104.6458 ,101,108,1.2,0.6667 ,48,92.71,5.1297 ,106
200.05,0,137,7,104.5,104.6458 ,101,108,0.35,0.6667 ,48,93.7433,5.0586 ,107
200.0875,1,129,10,106,106.2174 ,101,111,0.0375,0.6667 ,46,95.0067,4.9860 ,108
200.5375,1,147,13,107.5,107.7955 ,101,114,0.45,0.6667 ,44,96.72,4.9050 ,111
201.025,1,111,13,107.5,107.8095 ,101,114,0.4875,0.6667 ,42,98.29,4.8335 ,101
201.3,1,139,18,105,105.2195 ,96,114,0.275,0.5000 ,41,96.1267,4.9306 ,101
208.0625,0,126,3,102.5,102.5000 ,101,104,6.7625,0.5000 ,46,93.9367,5.0264 ,103
208.45,1,103,2,102,101.9778 ,101,103,0.3875,0.5000 ,45,91.9033,5.1184 ,101
209.4875,1,116,3,102.5,102.5000 ,101,104,1.0375,0.5000 ,44,91.8367,5.1030 ,103
211.025,1,101,2,101,100.9767 ,100,102,1.5375,0.5000 ,43,92.4433,5.0522 ,101
211.2375,1,106,6,99,98.9268 ,96,102,0.2125,0.5000 ,41,91.8367,5.0765 ,100
211.7375,1,119,7,99.5,99.0732 ,96,103,0.5,0.3333 ,41,91.4433,5.0884 ,102
214.0125,0,132,8,96,95.6364 ,92,100,2.275,0.3333 ,44,91.27,5.1165 ,99
214.0875,1,129,8,96,95.6190 ,92,100,0.075,0.3333 ,42,90.6,5.1723 ,100
218.375,0,137,5,100.5,100.3256 ,98,103,4.2875,0.5000 ,43,90.5733,5.1581 ,99
219.125,1,114,5,98.5,98.3256 ,96,101,0.75,0.5000 ,43,89.73,5.2004 ,98
222.425,0,147,3,98.5,98.4043 ,97,100,3.3,0.5000 ,47,89.3667,5.2146 ,99
223.1125,1,150,3,97.5,97.4043 ,96,99,0.6875,0.5000 ,47,89.13,5.2285 ,97
223.7375,0,119,4,98,97.7778 ,96,100,0.625,0.5000 ,45,88.4933,5.2631 ,98
225,0,98,6,100,100.0667 ,97,103,1.2625,0.5000 ,45,88.4967,5.2479 ,98
228.4875,0,142,5,100.5,100.6087 ,98,103,3.4875,0.5000 ,46,88.2567,5.2458 ,101
229,1,126,6,100,100.2000 ,97,103,0.5125,0.5000 ,45,89.5267,5.1564 ,98
230.8375,1,108,9,101.5,101.5000 ,97,106,1.8375,0.5000 ,46,89.4267,5.1449 ,103
232.3375,0,134,9,101.5,101.6000 ,97,106,1.5,0.5000 ,45,91.0033,5.0389 ,98
232.6125,0,139,9,101.5,101.7045 ,97,106,0.275,0.5000 ,44,90.0267,5.0766 ,100
232.7875,0,111,9,101.5,101.6047 ,97,106,0.175,0.5000 ,43,90.5433,5.0310 ,99
234.3,0,103,5,99.5,99.5000 ,97,102,1.5125,0.5000 ,42,89.46,5.0801 ,100
234.8125,1,121,6,99,98.9268 ,96,102,0.5125,0.5000 ,41,90.0333,5.0385 ,97
237.025,0,132,8,102,101.8974 ,98,106,2.2125,0.5000 ,39,89.0633,5.0769 ,101
238.7875,0,101,7,102.5,102.7561 ,99,106,1.7625,0.5000 ,41,89.7667,5.0213 ,101
239.675,0,116,6,103,103.0732 ,100,106,0.8875,0.5000 ,41,90.1567,4.9845 ,101
242.3,0,126,6,103,103.0000 ,100,106,2.625,0.5000 ,44,91.2367,4.9107 ,104
242.8125,1,124,5,102.5,102.5000 ,100,105,0.5125,0.6667 ,44,92.2367,4.8423 ,100
242.85,1,106,9,100.5,100.5000 ,96,105,0.0375,0.5000 ,42,91.8033,4.8514 ,100
243.1,1,147,10,101,100.8780 ,96,106,0.25,0.5000 ,41,91.4133,4.8578 ,105
244.95,1,144,10,103,103.0000 ,98,108,1.85,0.5000 ,40,92,4.8126 ,106
249.175,0,101,4,100,99.8095 ,98,102,4.225,0.5000 ,42,93.8333,4.7074 ,100
249.8875,0,150,6,99,98.8571 ,96,102,0.7125,0.5000 ,42,93.4833,4.7176 ,101
251.2625,1,96,10,97,96.4737 ,92,102,1.375,0.3333 ,38,92.2867,4.7863 ,96
258.425,0,108,1,96.5,96.4565 ,96,97,7.1625,0.2500 ,46,89.3,4.9539 ,97
