Trading_time,Is_it_best_bid_or_ask,The_price_of_the_customer_order,bid_ask_spread,mid_price,micro_price,best_bid,best_ask,time_elapsed,LOB_imbalance,total_quantity_of_all_quotes,p*,Smith's_metric,Trading_price
1.6125,0,137,63,106.5,117.0000 ,75,138,0.0000 ,0.5000 ,3,0.0000 ,0.0000 ,137
6.2875,0,132,50,107,105.0769 ,82,132,4.6750 ,0.3333 ,13,0.0000 ,0.0000 ,83
10.425,0,121,12,104,104.2857 ,98,110,4.1375 ,0.5000 ,21,0.0000 ,0.0000 ,102
13.7,0,126,9,102.5,102.5000 ,98,107,3.2750 ,0.5000 ,26,95.8900 ,7.4285 ,106
15.575,0,119,8,102,102.3077 ,98,106,1.8750 ,0.5000 ,26,88.3433 ,7.4837 ,100
15.85,1,98,14,99,99.2800 ,92,106,0.2750 ,0.5000 ,25,92.6733 ,6.6167 ,98
17.45,0,96,14,97,97.2800 ,90,104,1.6000 ,0.5000 ,25,91.2867 ,6.7652 ,95
19.875,0,111,5,95.5,95.2414 ,93,98,2.4250 ,0.5000 ,29,88.0667 ,7.2231 ,94
20.0875,0,114,4,95,94.7143 ,93,97,0.2125 ,0.5000 ,28,86.2933 ,7.7033 ,96
20.4375,1,150,10,101,100.4444 ,96,106,0.3500 ,0.5000 ,27,85.8500 ,7.9052 ,97
20.475,1,139,18,105,104.3077 ,96,114,0.0375 ,0.5000 ,26,86.5133 ,7.4168 ,106
23.55,0,147,9,105.5,105.3636 ,101,110,3.0750 ,0.5000 ,33,90.3533 ,6.7884 ,102
24.3125,0,103,8,104,103.6571 ,100,108,0.7625 ,0.5000 ,35,91.9900 ,6.4423 ,103
26.525,0,116,2,105,104.9268 ,104,106,2.2125 ,0.5000 ,41,93.5533 ,6.0780 ,105
27.65,1,124,10,109,108.7500 ,104,114,1.1250 ,0.5000 ,40,93.4400 ,5.8904 ,106
28.6625,0,106,9,109.5,109.5000 ,105,114,1.0125 ,0.5000 ,40,94.6433 ,5.8498 ,106
29.35,1,129,14,112,112.1795 ,105,119,0.6875 ,0.5000 ,39,95.4833 ,5.8539 ,114
30.35,0,142,7,107.5,107.4186 ,104,111,1.0000 ,0.5000 ,43,98.4200 ,5.9079 ,106
30.65,1,134,9,106.5,106.2857 ,102,111,0.3000 ,0.5000 ,42,98.1533 ,5.8078 ,104
32.5875,0,124,7,107.5,107.5814 ,104,111,1.9375 ,0.5000 ,43,97.2467 ,5.7195 ,109
34.225,1,144,15,111.5,111.5000 ,104,119,1.6375 ,0.5000 ,42,96.1533 ,5.6837 ,111
34.5875,0,101,29,104.5,104.1081 ,90,119,0.3625 ,0.5000 ,37,97.7800 ,5.6731 ,100
34.6375,0,108,29,104.5,104.1081 ,90,119,0.0500 ,0.5000 ,37,96.0633 ,5.6371 ,103
37.675,1,137,33,107.5,106.1622 ,91,124,3.0375 ,0.5000 ,37,94.3033 ,5.6118 ,119
37.85,1,93,34,107,106.0556 ,90,124,0.1750 ,0.5000 ,36,97.5667 ,5.3139 ,91
39.75,0,134,15,97.5,97.0833 ,90,105,1.9000 ,0.5000 ,36,93.8433 ,5.4156 ,102
45.75,1,111,7,101.5,101.3250 ,98,105,6.0000 ,0.3333 ,40,93.4300 ,5.5704 ,105
46.1125,1,101,11,100.5,100.3590 ,95,106,0.3625 ,0.5000 ,39,90.1700 ,5.7003 ,98
46.9625,1,129,29,109.5,109.1081 ,95,124,0.8500 ,0.5000 ,37,91.7067 ,5.5622 ,106
48.45,1,96,15,97.5,96.8919 ,90,105,1.4875 ,0.5000 ,37,93.0833 ,5.4681 ,95
49.0125,0,150,10,101,100.8571 ,96,106,0.5625 ,0.5000 ,35,89.9267 ,5.7673 ,104
51.1375,0,116,6,100,99.9231 ,97,103,2.1250 ,0.6667 ,39,91.7867 ,5.5929 ,102
52.275,1,126,5,101.5,101.6250 ,99,104,1.1375 ,0.5000 ,40,90.8500 ,5.6165 ,103
