Trading_time,Is_it_best_bid_or_ask,The_price_of_the_customer_order,bid_ask_spread,mid_price,micro_price,best_bid,best_ask,time_elapsed,LOB_imbalance,total_quantity_of_all_quotes,p*,Smith's_metric,Trading_price
4.4625,0,116,11,72.5,72.5000 ,67,78,0,0.5000 ,8,0.0000 ,0.0000 ,73
4.8,0,134,26,80,83.2500 ,67,93,0.3375,0.5000 ,8,0.0000 ,0.0000 ,72
8.8375,0,106,24,81,78.2308 ,69,93,4.0375,0.5000 ,13,0.0000 ,0.0000 ,88
9.4875,0,142,24,81,77.0000 ,69,93,0.65,0.5000 ,15,70.6433 ,5.8186 ,82
10.05,0,101,19,83.5,81.1250 ,74,93,0.5625,0.5000 ,16,73.1733 ,5.7047 ,91
10.975,1,108,27,87.5,84.8000 ,74,101,0.925,0.5000 ,15,78.6933 ,6.2696 ,93
11.625,0,129,27,87.5,85.8125 ,74,101,0.65,0.5000 ,16,80.4400 ,6.3967 ,96
13.8125,1,126,32,92,91.0588 ,76,108,2.1875,0.5000 ,17,84.4700 ,7.0589 ,101
14.125,0,137,31,92.5,91.5882 ,77,108,0.3125,0.5000 ,17,87.5767 ,7.3003 ,78
14.1625,1,121,32,92,92.0000 ,76,108,0.0375,0.5000 ,16,82.2200 ,7.9261 ,77
16.1,0,93,13,82.5,81.8500 ,76,89,1.9375,0.5000 ,20,76.3367 ,8.1565 ,83
19.1375,0,150,12,83,82.7600 ,77,89,3.0375,0.6667 ,25,71.8267 ,8.2943 ,86
20.325,0,96,29,91.5,89.7600 ,77,106,1.1875,0.6667 ,25,74.3567 ,8.0932 ,86
22.1375,1,139,31,92.5,89.9167 ,77,108,1.8125,0.5000 ,24,76.8767 ,7.9470 ,106
22.9875,1,124,34,94,91.1667 ,77,111,0.85,0.5000 ,24,84.3533 ,7.4332 ,108
23.8,1,78,37,91.5,88.4167 ,73,110,0.8125,0.5000 ,24,91.0200 ,6.8125 ,77
24.0125,0,98,35,90.5,86.6957 ,73,108,0.2125,0.5000 ,23,86.6867 ,7.0143 ,94
24.65,0,147,30,96,91.4348 ,81,111,0.6375,0.5000 ,23,83.5933 ,7.5218 ,107
27.5375,0,119,13,95.5,95.0938 ,89,102,2.8875,0.5000 ,32,84.6567 ,7.5542 ,92
28.575,0,144,12,95,94.6667 ,89,101,1.0375,0.5000 ,36,88.1467 ,7.2997 ,91
30.25,0,114,13,96.5,96.3143 ,90,103,1.675,0.5000 ,35,86.8233 ,7.5273 ,99
31.925,0,103,3,96.5,96.5000 ,95,98,1.675,0.5000 ,34,85.1400 ,7.7559 ,97
33.2,0,132,3,96.5,96.2500 ,95,98,1.275,0.5000 ,36,86.6033 ,7.6744 ,96
34.725,1,124,3,96.5,96.3421 ,95,98,1.525,0.3333 ,38,87.8300 ,7.5942 ,98
36.55,1,106,3,95.5,95.3421 ,94,97,1.825,0.3333 ,38,87.6567 ,7.5746 ,95
36.65,0,121,3,95.5,95.3421 ,94,97,0.1,0.5000 ,38,86.9867 ,7.5914 ,95
39.9125,1,103,2,95,94.9231 ,94,96,3.2625,0.6667 ,39,86.6267 ,7.5589 ,94
