Trading_time,Is_it_best_bid_or_ask,The_price_of_the_customer_order,bid_ask_spread,mid_price,micro_price,best_bid,best_ask,time_elapsed,LOB_imbalance,total_quantity_of_all_quotes,p*,Smith's_metric,Trading_price
3.1875,0,124,98,122,151.4000 ,73,171,0,0.6667 ,5,0.0000 ,0.0000 ,91
6.95,0,150,25,149.5,153.6667 ,137,162,3.7625,0.5000 ,12,0.0000 ,0.0000 ,150
8.0875,1,137,22,143,145.2000 ,132,154,1.1375,0.5000 ,15,0.0000 ,0.0000 ,137
8.2875,1,132,48,130,131.6000 ,106,154,0.2,0.5000 ,15,115.2367 ,8.6023 ,132
9.9,0,147,33,134.5,137.8000 ,118,151,1.6125,0.5000 ,15,125.6000 ,7.3600 ,147
10.1125,1,144,52,124,130.0000 ,98,150,0.2125,0.5000 ,13,125.5900 ,7.9911 ,118
10.375,1,98,74,112,114.8462 ,75,149,0.2625,0.5000 ,13,119.0733 ,11.4620 ,98
18.6875,0,111,3,96.5,96.5652 ,95,98,8.3125,0.5000 ,23,107.7567 ,17.9007 ,96
18.75,1,119,8,99,99.0000 ,95,103,0.0625,0.5000 ,22,93.2600 ,22.7782 ,98
19.0375,1,114,20,93,93.0000 ,83,103,0.2875,0.5000 ,22,87.9267 ,26.1825 ,95
23.375,1,121,8,103,103.4138 ,99,107,4.3375,0.5000 ,29,86.9867 ,26.2291 ,103
25.1625,1,142,6,108,108.3158 ,105,111,1.7875,0.5000 ,38,89.2933 ,24.8405 ,107
25.5625,0,106,6,108,108.3333 ,105,111,0.4,0.3333 ,36,92.2167 ,23.3966 ,106
27.8125,0,139,9,106.5,106.9500 ,102,111,2.25,0.3333 ,40,95.2433 ,22.1191 ,108
31.0375,1,103,1,102.5,102.4800 ,102,103,3.225,0.6667 ,50,96.6900 ,21.5109 ,102
31.2,1,126,4,101,100.9167 ,99,103,0.1625,0.5000 ,48,95.0200 ,21.6661 ,102
31.425,1,108,8,99,98.8261 ,95,103,0.225,0.5000 ,46,93.7600 ,21.8144 ,99
31.7125,0,111,8,99,98.9149 ,95,103,0.2875,0.5000 ,47,91.1400 ,22.2471 ,100
33.55,0,98,7,98.5,98.5000 ,95,102,1.8375,0.5000 ,48,90.5733 ,22.1837 ,98
34.9875,0,147,6,98,98.0000 ,95,101,1.4375,0.5000 ,46,89.3967 ,22.2725 ,99
36.45,0,124,6,98,98.2000 ,95,101,1.4625,0.5000 ,45,89.4000 ,22.0428 ,97
37.0125,1,132,11,100.5,100.7500 ,95,106,0.5625,0.5000 ,44,88.4933 ,21.9360 ,101
37.3875,0,134,11,100.5,100.6222 ,95,106,0.375,0.5000 ,45,89.4967 ,21.3736 ,100
37.6625,1,96,12,100,100.1395 ,94,106,0.275,0.5000 ,43,89.8233 ,21.0032 ,95
38.1,1,129,18,97,97.2195 ,88,106,0.4375,0.5000 ,41,88.9367 ,21.0148 ,94
43.675,0,121,12,98,98.0000 ,92,104,5.575,0.5000 ,44,86.8333 ,21.2920 ,98
44.0125,0,142,6,95,95.0667 ,92,98,0.3375,0.5000 ,45,86.5167 ,21.2338 ,94
44.525,0,119,10,98,98.1163 ,93,103,0.5125,0.5000 ,43,86.1133 ,21.0940 ,96
46.525,0,106,7,99.5,99.8333 ,96,103,2,0.5000 ,42,86.6600 ,20.6871 ,98
49.3375,0,134,5,100.5,100.5532 ,98,103,2.8125,0.3333 ,47,86.8467 ,20.3641 ,100
49.55,0,150,5,100.5,100.5000 ,98,103,0.2125,0.5000 ,44,88.6533 ,19.6871 ,102
49.8125,1,114,7,99.5,99.5000 ,96,103,0.2625,0.5000 ,44,90.4600 ,19.0634 ,98
53.625,1,137,8,102,101.9070 ,98,106,3.8125,0.5000 ,43,90.2667 ,18.8439 ,103
56.85,0,129,10,101,101.1111 ,96,106,3.225,0.6667 ,45,91.2733 ,18.3988 ,97
60.2125,0,139,6,102,101.9362 ,99,105,3.3625,0.6000 ,47,89.6933 ,18.4800 ,100
61.4,0,116,6,103,102.8800 ,100,106,1.1875,0.7500 ,50,90.2433 ,18.1254 ,104
61.4875,1,103,7,102.5,102.3542 ,99,106,0.0875,0.6667 ,48,90.8567 ,17.7767 ,100
65,0,139,3,99.5,99.5000 ,98,101,3.5125,0.5000 ,48,91.5333 ,17.4624 ,101
65.075,1,126,8,102,102.0000 ,98,106,0.075,0.5000 ,46,91.7467 ,17.2156 ,101
65.1875,1,144,8,102,102.0000 ,98,106,0.1125,0.5000 ,44,90.9667 ,17.1623 ,98
65.8625,1,111,16,98,97.6364 ,90,106,0.675,0.5000 ,44,90.2367 ,17.1601 ,98
66.0375,1,137,18,99,98.5714 ,90,108,0.175,0.5000 ,42,89.3367 ,17.1788 ,106
67.425,0,144,14,101,100.8372 ,94,108,1.3875,0.5000 ,43,91.1933 ,16.6551 ,98
67.7,1,132,21,100.5,100.2439 ,90,111,0.275,0.5000 ,41,90.9267 ,16.5405 ,108
69.275,1,91,25,98.5,98.1795 ,86,111,1.575,0.5000 ,39,94.0200 ,15.8659 ,90
69.8875,0,126,15,103.5,104.0769 ,96,111,0.6125,0.5000 ,39,88.8600 ,16.6031 ,100
72.125,0,119,9,106.5,106.8293 ,102,111,2.2375,0.5000 ,41,89.4933 ,16.3059 ,108
73.6875,0,150,9,106.5,106.5000 ,102,111,1.5625,0.5000 ,42,90.3000 ,15.9875 ,108
75.2625,0,142,3,109.5,109.5000 ,108,111,1.575,0.5000 ,44,95.4000 ,14.9830 ,110
75.5,1,147,7,111.5,111.5000 ,108,115,0.2375,0.5000 ,42,98.2267 ,14.4230 ,111
78.6125,0,106,6,109,109.0667 ,106,112,3.1125,0.6667 ,45,99.1600 ,14.1492 ,106
79.3,0,129,5,107.5,107.6136 ,105,110,0.6875,0.6667 ,44,98.3333 ,14.1287 ,105
79.575,1,121,7,107.5,107.6591 ,104,111,0.275,0.5000 ,44,96.7700 ,14.2194 ,110
79.8375,1,116,8,107,107.2791 ,103,111,0.2625,0.5000 ,43,96.7867 ,14.0828 ,104
81.0625,0,114,8,107,107.3636 ,103,111,1.225,0.5000 ,44,96.0167 ,14.0643 ,104
81.1,1,124,9,106.5,106.9286 ,102,111,0.0375,0.5000 ,42,95.5667 ,14.0017 ,103
82.1375,1,103,12,101,101.4390 ,95,107,1.0375,0.5000 ,41,93.6133 ,14.1832 ,102
85.2875,0,134,1,95.5,95.4884 ,95,96,3.15,0.3333 ,43,92.9800 ,14.2366 ,96
86.35,1,108,3,96.5,96.5000 ,95,98,1.0625,0.5000 ,40,90.4100 ,14.5809 ,96
90.1375,0,98,6,98,97.8500 ,95,101,3.7875,0.5000 ,40,88.3400 ,14.8433 ,96
92.2875,0,150,5,98.5,98.4419 ,96,101,2.15,0.5000 ,43,86.7200 ,15.0338 ,97
95.1125,1,139,5,100.5,100.4390 ,98,103,2.825,0.5000 ,41,87.0533 ,14.8730 ,101
97.575,1,98,8,99,98.9024 ,95,103,2.4625,0.5000 ,41,88.6867 ,14.5125 ,98
98.325,1,147,14,102,102.0000 ,95,109,0.75,0.5000 ,40,89.1567 ,14.3296 ,103
100.3625,1,132,18,105,105.2308 ,96,114,2.0375,0.5000 ,39,91.0033 ,13.9287 ,109
101.3125,1,119,19,106.5,107.4048 ,97,116,0.95,0.5000 ,42,93.6933 ,13.4268 ,114
102.05,0,137,19,106.5,107.4048 ,97,116,0.7375,0.5000 ,42,98.5100 ,12.6753 ,115
102.8875,1,126,19,105.5,106.4048 ,96,115,0.8375,0.5000 ,42,101.9633 ,12.1547 ,97
106.4875,0,142,11,110.5,111.1395 ,105,116,3.6,0.5000 ,43,97.6133 ,12.6216 ,107
109.1,0,111,1,106.5,106.5532 ,106,107,2.6125,0.6667 ,47,95.8167 ,12.7652 ,106
109.3875,1,124,10,111,111.4348 ,106,116,0.2875,0.5000 ,46,93.6233 ,12.9914 ,107
114.0125,0,144,3,107.5,107.5957 ,106,109,4.625,0.5000 ,47,96.3567 ,12.5358 ,107
114.0625,1,129,7,105.5,105.6522 ,102,109,0.05,0.5000 ,46,96.3867 ,12.4445 ,106
114.7,1,103,11,100.5,100.6170 ,95,106,0.6375,0.5000 ,47,96.3233 ,12.3826 ,102
115.5875,1,96,5,93.5,93.4444 ,91,96,0.8875,0.5000 ,45,94.6900 ,12.5994 ,95
116.55,1,134,11,96.5,96.2609 ,91,102,0.9625,0.5000 ,46,90.8867 ,13.0911 ,96
